wall_id,materials,total_thickness,total_r_value,total_u_value,total_embodied_carbon,heat_transfer,total_cost
11,"[{'material': 'Plywood', 'thickness': np.float64(0.005), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}, {'material': 'Soft board', 'thickness': np.float64(0.093), 'density': np.float64(320.0), 'conductivity': np.float64(0.066), 'u_value': np.float64(0.71), 'embodied_carbon_coefficient': np.float64(0.12), 'cost': np.float64(24.57), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#b2afb0'}, {'material': 'Plywood', 'thickness': np.float64(0.022), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(7.937), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.12,1.564,43.13,20.851,6.394,63.55
12,"[{'material': 'Timber', 'thickness': np.float64(0.018), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(4.0), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.099), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.364), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Solid concrete block 25/50', 'thickness': np.float64(0.15), 'density': np.float64(2427.0), 'conductivity': np.float64(1.396), 'u_value': np.float64(9.346), 'embodied_carbon_coefficient': np.float64(0.073), 'cost': np.float64(16.49), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#c0a6ab'}, {'material': 'Timber', 'thickness': np.float64(0.022), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.268), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.289,3.413,16.978,42.776,2.93,64.92
13,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.011), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(47.619), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Cork slab', 'thickness': np.float64(0.096), 'density': np.float64(192.0), 'conductivity': np.float64(0.044), 'u_value': np.float64(0.458), 'embodied_carbon_coefficient': np.float64(0.2), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Solid concrete block 25/50', 'thickness': np.float64(0.15), 'density': np.float64(2427.0), 'conductivity': np.float64(1.396), 'u_value': np.float64(9.346), 'embodied_carbon_coefficient': np.float64(0.073), 'cost': np.float64(16.49), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#c0a6ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.01), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(50.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.267,2.33,107.423,36.824,4.292,52.29
14,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.01), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(50.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Expanded polystyrene', 'thickness': np.float64(0.086), 'density': np.float64(24.0), 'conductivity': np.float64(0.335), 'u_value': np.float64(3.891), 'embodied_carbon_coefficient': np.float64(2.55), 'cost': np.float64(13.23), 'recyclability': np.int64(1), 'bio_based': np.False_, 'color': '#787b7b'}, {'material': 'Plywood', 'thickness': np.float64(0.012), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(14.493), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.108,0.346,68.384,16.068,28.902,39.69
15,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.011), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(47.619), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Cork slab', 'thickness': np.float64(0.049), 'density': np.float64(164.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.877), 'embodied_carbon_coefficient': np.float64(0.3), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.073,1.186,88.496,9.91,8.432,35.8
16,"[{'material': 'Cement plaster', 'thickness': np.float64(0.013), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(55.556), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Cork slab', 'thickness': np.float64(0.023), 'density': np.float64(192.0), 'conductivity': np.float64(0.044), 'u_value': np.float64(1.912), 'embodied_carbon_coefficient': np.float64(0.2), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Solid concrete block 25/50', 'thickness': np.float64(0.15), 'density': np.float64(2427.0), 'conductivity': np.float64(1.396), 'u_value': np.float64(9.346), 'embodied_carbon_coefficient': np.float64(0.073), 'cost': np.float64(16.49), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#c0a6ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.199,0.673,106.814,45.952,14.859,56.05
17,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.055), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(14.286), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Glass Wool (unbonded)', 'thickness': np.float64(0.02), 'density': np.float64(69.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(2.151), 'embodied_carbon_coefficient': np.float64(1.35), 'cost': np.float64(5.78), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#707372'}, {'material': 'Timber', 'thickness': np.float64(0.029), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.481), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.104,0.938,18.918,121.148,10.661,82.14
18,"[{'material': 'Timber', 'thickness': np.float64(0.019), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.788), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Straw board', 'thickness': np.float64(0.055), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(1.036), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Solid burnt clay brick', 'thickness': np.float64(0.012), 'density': np.float64(1920.0), 'conductivity': np.float64(0.98), 'u_value': np.float64(83.333), 'embodied_carbon_coefficient': np.float64(0.012), 'cost': np.float64(22.31), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b4b2b3'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.015), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.101,1.27,122.64,13.234,7.874,61.49
19,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Straw board', 'thickness': np.float64(0.047), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(1.212), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Timber', 'thickness': np.float64(0.028), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.571), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.089,1.241,40.82,15.509,8.058,39.18
20,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.07), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(11.236), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Foam glass', 'thickness': np.float64(0.109), 'density': np.float64(127.0), 'conductivity': np.float64(0.056), 'u_value': np.float64(0.514), 'embodied_carbon_coefficient': np.float64(1.26), 'cost': np.float64(72.27), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#848788'}, {'material': 'Plywood', 'thickness': np.float64(0.003), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.182,2.052,70.574,158.424,4.873,146.41
21,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.032), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(24.39), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Mineral wool (unbonded)', 'thickness': np.float64(0.096), 'density': np.float64(73.5), 'conductivity': np.float64(0.03), 'u_value': np.float64(0.312), 'embodied_carbon_coefficient': np.float64(0.5), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b9b7ba'}, {'material': 'Cement plaster', 'thickness': np.float64(0.015), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(47.619), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.143,3.262,72.321,83.75,3.066,81.63
22,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Straw board', 'thickness': np.float64(0.098), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(0.582), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.125,1.763,93.214,22.641,5.672,28.2
23,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.051), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(15.385), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.031), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(1.225), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Cement plaster', 'thickness': np.float64(0.015), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(47.619), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.097,0.902,64.229,121.936,11.086,70.39
24,"[{'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.096), 'density': np.float64(92.0), 'conductivity': np.float64(0.047), 'u_value': np.float64(0.489), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.119,2.075,125.98,34.806,4.819,37.71
25,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.062), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(12.658), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Glass Wool (unbonded)', 'thickness': np.float64(0.074), 'density': np.float64(69.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.581), 'embodied_carbon_coefficient': np.float64(1.35), 'cost': np.float64(5.78), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#707372'}, {'material': 'Timber', 'thickness': np.float64(0.028), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.571), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.164,2.189,15.81,139.739,4.568,82.14
26,"[{'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.027), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(1.406), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Plywood', 'thickness': np.float64(0.009), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(19.231), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.047,0.778,87.304,21.427,12.853,35.23
